service_id,date,exception_type
291403,20260628,1
49602,20260829,1
49602,20260822,1
49602,20260905,1
291703,20260701,1
291703,20260705,1
291703,20260628,1
291703,20260614,1
291703,20260712,1
291703,20260621,1
801_merged_15529690,20260528,1
801_merged_15529690,20260603,1
801_merged_15529690,20260521,1
801_merged_15529690,20260520,1
801_merged_15529690,20260525,1
801_merged_15529690,20260527,1
801_merged_15529690,20260526,1
801_merged_15529690,20260511,1
801_merged_15529690,20260512,1
801_merged_15529690,20260513,1
801_merged_15529690,20260514,1
801_merged_15529690,20260506,1
801_merged_15529690,20260505,1
801_merged_15529690,20260504,1
801_merged_15529690,20260519,1
801_merged_15529690,20260428,1
801_merged_15529690,20260427,1
801_merged_15529690,20260420,1
801_merged_15529690,20260421,1
801_merged_15529690,20260422,1
801_merged_15529690,20260430,1
801_merged_15529690,20260601,1
801_merged_15529690,20260602,1
801_merged_15529690,20260423,1
801_merged_15529690,20260604,1
801_merged_15529690,20260429,1
801_merged_15529690,20260507,1
292802,20260718,1
152301_merged_15529706,20260610,1
152301_merged_15529706,20260616,1
152301_merged_15529706,20260615,1
152301_merged_15529706,20260630,1
152301_merged_15529706,20260619,1
152301_merged_15529706,20260618,1
152301_merged_15529706,20260807,1
152301_merged_15529706,20260716,1
152301_merged_15529706,20260612,1
152301_merged_15529706,20260611,1
152301_merged_15529706,20260715,1
