route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Hastings St,3,FFFFFF,008522,TL,37807,https://translink.ca/schedules-and-maps/route/R5/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R5,,R5
Coquitlam Central Station/Lafarge Park,3,,,TL,30051,https://translink.ca/schedules-and-maps/route/189/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=189,,189
Coquitlam Central Station/Parkway,3,,,TL,30050,https://translink.ca/schedules-and-maps/route/187/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=187,,187
Expo Line,1,FFFFFF,0033a0,TL,30053,https://translink.ca/schedules-and-maps/line/expo-line/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_line&utm_term=expo-line,,
Millennium Line,1,333333,ffcd00,TL,30052,https://translink.ca/schedules-and-maps/line/millennium-line/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_line&utm_term=millennium-line,,
Pacific,3,,,TL,30055,https://translink.ca/schedules-and-maps/route/23/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=23,,023
Murrayville/Langley Centre,3,,,TL,34044,https://translink.ca/schedules-and-maps/route/560/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=560,,560
Kingsway,3,,,TL,32799,https://translink.ca/schedules-and-maps/route/119/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=119,,119
Brighouse Station/Two Road,3,,,TL,6723,https://translink.ca/schedules-and-maps/route/402/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=402,,402
Brighouse Station/One Road,3,,,TL,6722,https://translink.ca/schedules-and-maps/route/401/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=401,,401
Langley Centre/King George Station,3,,,TL,6721,https://translink.ca/schedules-and-maps/route/395/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=395,,395
White Rock Centre/King George Station,3,,,TL,6720,https://translink.ca/schedules-and-maps/route/394/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=394,,394
Gilbert/Bridgeport,3,,,TL,6727,https://translink.ca/schedules-and-maps/route/407/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=407,,407
Five Road/Cambie,3,,,TL,6726,https://translink.ca/schedules-and-maps/route/405/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=405,,405
Brighouse Station/Four Road,3,,,TL,6725,https://translink.ca/schedules-and-maps/route/404/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=404,,404
Bridgeport Station/Three Road,3,,,TL,6724,https://translink.ca/schedules-and-maps/route/403/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=403,,403
Haney Place/Cottonwood,3,,,TL,34042,https://translink.ca/schedules-and-maps/route/745/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=745,,745
Brighouse Station/22nd St Station,3,,,TL,6728,https://translink.ca/schedules-and-maps/route/410/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=410,,410
