trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
15237299,19:26:00,19:26:00,9179,1,,,,,1
15237299,19:26:32,19:26:32,9312,2,,,,0.2611,0
15237299,19:26:59,19:26:59,11969,3,,,,0.4802,0
15237299,19:27:55,19:27:55,9314,4,,,,0.9312,0
15237299,19:28:15,19:28:15,10171,5,,,,1.0988,0
15237299,19:29:04,19:29:04,9316,6,,,,1.4943,0
15237299,19:29:31,19:29:31,9317,7,,,,1.7168,0
15237299,19:30:04,19:30:04,9318,8,,,,1.9873,0
15237299,19:30:34,19:30:34,12270,9,,,,2.2353,0
15237299,19:31:15,19:31:15,12271,10,,,,2.5644,0
15237299,19:31:58,19:31:58,12272,11,,,,2.9163,0
15237299,19:32:31,19:32:31,12273,12,,,,3.1841,0
15237299,19:33:36,19:33:36,3206,13,,,,3.7126,0
15237299,19:34:32,19:34:32,3207,14,,,,4.1631,0
15237299,19:35:31,19:35:31,3214,15,,,,4.6363,0
15237299,19:36:11,19:36:11,3215,16,,,,4.9575,0
15237299,19:36:57,19:36:57,3216,17,,,,5.3265,0
15237299,19:38:00,19:38:00,10860,18,,1,,5.7705,1
15237298,18:55:00,18:55:00,9179,1,,,,,1
15237298,18:55:35,18:55:35,9312,2,,,,0.2611,0
15237298,18:56:04,18:56:04,11969,3,,,,0.4802,0
15237298,18:57:04,18:57:04,9314,4,,,,0.9312,0
15237298,18:57:26,18:57:26,10171,5,,,,1.0988,0
15237298,18:58:19,18:58:19,9316,6,,,,1.4943,0
15237298,18:58:49,18:58:49,9317,7,,,,1.7168,0
15237298,18:59:25,18:59:25,9318,8,,,,1.9873,0
15237298,18:59:58,18:59:58,12270,9,,,,2.2353,0
15237298,19:00:42,19:00:42,12271,10,,,,2.5644,0
15237298,19:01:29,19:01:29,12272,11,,,,2.9163,0
15237298,19:02:05,19:02:05,12273,12,,,,3.1841,0
15237298,19:03:16,19:03:16,3206,13,,,,3.7126,0
15237298,19:04:16,19:04:16,3207,14,,,,4.1631,0
15237298,19:05:19,19:05:19,3214,15,,,,4.6363,0
15237298,19:06:02,19:06:02,3215,16,,,,4.9575,0
15237298,19:06:51,19:06:51,3216,17,,,,5.3265,0
15237298,19:08:00,19:08:00,10860,18,,1,,5.7705,1
15237293,14:28:00,14:28:00,9179,1,,,,,1
15237293,14:28:35,14:28:35,9312,2,,,,0.2611,0
15237293,14:29:04,14:29:04,11969,3,,,,0.4802,0
15237293,14:30:04,14:30:04,9314,4,,,,0.9312,0
15237293,14:30:26,14:30:26,10171,5,,,,1.0988,0
15237293,14:31:19,14:31:19,9316,6,,,,1.4943,0
15237293,14:31:49,14:31:49,9317,7,,,,1.7168,0
15237293,14:32:25,14:32:25,9318,8,,,,1.9873,0
15237293,14:32:58,14:32:58,12270,9,,,,2.2353,0
15237293,14:33:42,14:33:42,12271,10,,,,2.5644,0
15237293,14:34:29,14:34:29,12272,11,,,,2.9163,0
