block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_2186991,1,30047,0,1,184 Moody Centre Station,317712,2_merged_15529702,15237299,
b_2187041,1,30047,0,1,184 Moody Centre Station,317712,2_merged_15529702,15237298,
b_2187042,1,30047,0,1,184 Moody Centre Station,317712,2_merged_15529702,15237293,
b_2187000,1,30047,0,1,184 Moody Centre Station,317712,2_merged_15529702,15237292,
b_2187040,1,30047,0,1,184 Moody Centre Station,317712,2_merged_15529702,15237291,
b_2187040,1,30047,0,0,184 Noons Creek,317711,2_merged_15529702,15237290,
b_2187000,1,30047,0,1,184 Moody Centre Station,317712,2_merged_15529702,15237297,
b_2187040,1,30047,0,1,184 Moody Centre Station,317712,2_merged_15529702,15237296,
b_2187000,1,30047,0,1,184 Moody Centre Station,317712,2_merged_15529702,15237295,
b_2187040,1,30047,0,1,184 Moody Centre Station,317712,2_merged_15529702,15237294,
a_2169671,1,38311,0,0,R2 Marine Drive/To Phibbs Exchange,313447,2_merged_15529680,14971743,
a_2169675,1,38311,0,0,R2 Marine Drive/To Phibbs Exchange,313447,2_merged_15529680,14971742,
a_2169608,1,38311,0,0,R2 Marine Drive/To Phibbs Exchange,313447,2_merged_15529680,14971741,
a_2169674,1,38311,0,0,R2 Marine Drive/To Phibbs Exchange,313447,2_merged_15529680,14971740,
a_2169672,1,38311,0,0,R2 Marine Drive/To Phibbs Exchange,313447,2_merged_15529680,14971747,
a_2169607,1,38311,0,0,R2 Marine Drive/To Phibbs Exchange,313447,2_merged_15529680,14971746,
a_2169673,1,38311,0,0,R2 Marine Drive/To Phibbs Exchange,313447,2_merged_15529680,14971745,
a_2169609,1,38311,0,0,R2 Marine Drive/To Phibbs Exchange,313447,2_merged_15529680,14971744,
a_2169608,1,38311,0,0,R2 Marine Drive/To Phibbs Exchange,313447,2_merged_15529680,14971749,
a_2169674,1,38311,0,0,R2 Marine Drive/To Phibbs Exchange,313447,2_merged_15529680,14971748,
b_2186870,1,6668,0,1,169 Braid Station,317671,2_merged_15529702,15234920,
b_2186869,1,6668,0,1,169 Braid Station,317671,2_merged_15529702,15234921,
